pH,Q
2.000000, 99.9999993695
2.200000, 99.9999989971
2.400000, 99.9999984132
2.600000, 99.9999974827
2.800000, 99.9999960103
3.000000, 99.9999936823
3.200000, 99.9999899920
3.400000, 99.9999841207
3.600000, 99.9999748075
3.800000, 99.9999601031
4.000000, 99.9999368498
4.200000, 99.9998999055
4.400000, 99.9998413353
4.600000, 99.9997485316
4.800000, 99.9996014563
5.000000, 99.9993677816
5.200000, 99.9989971952
5.400000, 99.9984126088
5.600000, 99.9974822773
5.800000, 99.9960063554
6.000000, 99.9936708645
6.200000, 99.9899385630
6.400000, 99.9840296055
6.600000, 99.9745893674
6.800000, 99.9594590598
7.000000, 99.9351739834
7.200000, 99.8958929937
7.400000, 99.8314903044
7.600000, 99.7251920351
7.800000, 99.5454082220
8.000000, 99.2394393545
8.200000, 98.7049960613
8.400000, 97.7750597631
8.600000, 96.1418744162
8.800000, 93.3081318862
9.000000, 88.5670667918
9.200000, 81.0690342744
9.400000, 70.3320390957
9.600000, 56.8887180786
9.800000, 42.6413084696
10.000000, 29.7882605259
10.200000, 19.7545193107
10.400000, 12.7067465399
10.600000, 8.0501053710
10.800000, 5.0640893695
11.000000, 3.1850518478
11.200000, 2.0028682103
11.400000, 1.2612389794
11.600000, 0.7946952892
11.800000, 0.5011426214
12.000000, 0.3160528853
